start_month,cls_lv2,mob_flag,mx,value,cnt
2015-03,易分期,22,合计,0,3
2015-03,收钱吧,22,合计,0,3
2015-03,易分期,22,合计,0,3
2015-03,易分期,23,M0(包括正常),0,3
2015-03,易分期,26,合计,0,3
2015-03,易分期,27,M0(包括正常),0,3
2015-03,易分期,30,合计,0,3
2015-03,易分期,31,M0(包括正常),0,3
2015-03,易分期,34,合计,0,3
2015-03,易分期,35,M0(包括正常),0,3
2015-03,易分期,38,合计,0,3
2015-04,易分期,1,合计,27647539.75,1860
2015-04,易分期,2,M0(包括正常),23740843.88,1810
2015-04,易分期,4,M1,1412161.49,101
2015-04,易分期,5,合计,15627123.29,1860
2015-04,易分期,36,M4+,3105530.08,276
2015-04,易分期,37,合计,3086619.08,1860
2015-05,易分期,0,合计,46480091,2696
2015-05,易分期,1,M0(包括正常),41636385.55,2696
2015-05,易分期,3,M1,1339324.78,84
2015-05,易分期,4,合计,26499029.43,2696
